,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Engenheiro Leal,3,0.11920529801324503,0.5276381447162167,0.33186813186813185,0.021914135758827075,8.830022075055188e-05,0.019250940571789433,8.830022075055188e-05,64.45000000000006
Engenho da Rainha,1,0.033112582781456956,0.29024860925306817,0.3393258426966292,0.012000869344163539,0.004503311258278146,0.014617934469934774,0.004503311258278146,61.00000000000007
Engenho de Dentro,2,0.1390728476821192,0.46141567710766984,0.3842239185750636,0.022888123383676,0.020485651214128035,0.029749878128786888,0.020485651214128035,69.53333333333336
Engenho Novo,2,0.10596026490066225,0.37211755255393736,0.36561743341404357,0.021057354688658946,0.009271523178807948,0.03485974283213542,0.009271523178807948,55.65000000000005
Estacio,2,0.0728476821192053,0.32750693685887167,0.3416289592760181,0.018274130402345868,0.004150110375275938,0.034175133771333084,0.004150110375275938,58.916666666666714
Flamengo,2,0.152317880794702,0.3673482242298104,0.35697399527186763,0.023242060336738753,0.015187637969094923,0.03629679409003594,0.015187637969094923,69.03333333333336
Freguesia Ilha do Governador,2,0.039735099337748346,0.20843448590714062,0.3233404710920771,0.012324648521514405,0.00803532008830022,0.022539575784810993,0.00803532008830022,66.2166666666667
Freguesia de Jacarepagua,2,0.09933774834437085,0.4004002103192665,0.35697399527186763,0.020239929958378602,0.006887417218543046,0.02353601398864113,0.006887417218543046,68.20000000000005
Galeao,1,0.039735099337748346,0.518983951915629,0.30443548387096775,0.012632548207574883,0.0003532008830022075,0.010225104791873333,0.0003532008830022075,62.28333333333341
Gamboa,1,0.08609271523178808,0.34589775763966574,0.3416289592760181,0.019174260454859194,0.002737306843267108,0.03814472334680858,0.002737306843267108,61.03333333333337
Gardenia Azul,4,0.006622516556291391,0.0,0.21207865168539325,0.0024040809315597367,0.0,5.019286433625432e-18,0.0,42.61666666666668
Gavea,2,0.11920529801324503,0.46283228061016346,0.32264957264957267,0.02165313808546724,0.002295805739514349,0.021883345842899464,0.002295805739514349,58.066666666666734
Gloria,2,0.12582781456953643,0.33785355691042745,0.3578199052132701,0.021980718709466652,0.019955849889624726,0.04093541257828775,0.019955849889624726,66.30000000000005
Grajau,2,0.12582781456953643,0.42932642864761117,0.36211031175059955,0.02203763719218602,0.0053863134657836645,0.02730692623457305,0.0053863134657836645,72.48333333333333
