,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Ipanema,4,0.020833333333333332,0.318433503975654,0.21851289833080426,0.0049603547574194875,0.0011655011655011655,0.02055023795229672,0.0011655011655011655,67.7666666666667
Iraja,2,0.2569444444444444,0.8135897604695159,0.47840531561461797,0.029410832384913353,0.0004856254856254856,0.01115266354773599,0.0004856254856254856,31.684523809523785
Itanhanga,0,0.013888888888888888,0.0,0.3582089552238806,0.007954923364151233,0.00019425019425019425,0.0031704904495119253,0.00019425019425019425,84.74999999999999
Jacare,1,0.3472222222222222,0.6532390999482695,0.5052631578947369,0.030381125824530886,0.008061383061383062,0.018939300819856498,0.008061383061383062,88.43333333333332
Jacarepagua,0,0.020833333333333332,0.30524872314793233,0.37017994858611825,0.010622080314624674,0.0017482517482517483,0.006325444970669501,0.0017482517482517483,92.13333333333333
Jacarezinho,1,0.10416666666666666,0.6696699616265251,0.40793201133144474,0.02462392244675874,0.0003885003885003885,0.011935850220159158,0.0003885003885003885,105.14999999999999
Jardim America,2,0.6388888888888888,0.5168734667804109,0.62882096069869,0.03182285926159735,0.012043512043512044,0.034432862099950716,0.012043512043512044,113.31666666666666
Jardim Botanico,0,0.13194444444444445,0.6164825597663472,0.4222873900293255,0.026057698529009028,0.0011655011655011655,0.030625078957920722,0.0011655011655011655,104.48333333333332
Jardim Carioca,0,0.47916666666666663,0.6398907356397615,0.5714285714285714,0.03123960241328639,0.0034965034965034965,0.02272444116792646,0.0034965034965034965,58.519047619047676
Jardim Guanabara,0,0.3263888888888889,0.7267505371506109,0.5217391304347826,0.030205429880254646,0.002136752136752137,0.01734018279760887,0.002136752136752137,99.93333333333332
Jardim Sulacap,2,0.18055555555555555,0.6761996683201968,0.47058823529411764,0.027897440500052162,0.013111888111888112,0.025083646427660825,0.013111888111888112,94.25
Lagoa,4,0.05555555555555555,0.368149679054299,0.35467980295566504,0.0176681190806392,0.042346542346542344,0.05152486772528902,0.042346542346542344,88.91666666666667
Laranjeiras,4,0.08333333333333333,0.5359769642171686,0.414985590778098,0.022727094533091283,0.004564879564879565,0.028997957567720816,0.004564879564879565,83.56666666666665
Leblon,4,0.020833333333333332,0.318433503975654,0.2748091603053435,0.0061858752264819785,0.02564102564102564,0.02984163521422934,0.02564102564102564,57.11666666666673
Leme,4,0.013888888888888888,0.0,0.2139673105497771,0.004640072350008243,0.002428127428127428,0.017370261906862614,0.002428127428127428,51.93571428571433
Lins de Vasconcelos,0,0.46527777777777773,0.61676932919895,0.5517241379310345,0.031178406571641993,0.007187257187257187,0.02702600849971265,0.007187257187257187,85.35
Madureira,2,0.3194444444444444,0.6783446457352263,0.5124555160142349,0.030121234823542672,0.005536130536130536,0.017908623598652626,0.005536130536130536,66.40000000000003
Magalhaes Bastos,2,0.5138888888888888,0.5567912232151138,0.5877551020408164,0.03142056548873459,0.05419580419580419,0.04340915804071149,0.05419580419580419,92.81666666666666
Mangueira,1,0.16666666666666666,0.6712509336229983,0.4645161290322581,0.027449745897792744,0.002428127428127428,0.010814399605452885,0.002428127428127428,108.14999999999999
Manguinhos,1,0.09027777777777778,0.6646441889513329,0.3988919667590028,0.023653610033605808,0.00019425019425019425,0.007375418861327179,0.00019425019425019425,30.68452380952379
Maracana,4,0.09027777777777778,0.5564476883306158,0.42729970326409494,0.02351946934997252,0.006701631701631702,0.022001359389233772,0.006701631701631702,105.63333333333333
Mare,1,0.38888888888888884,0.5833077706623133,0.5217391304347826,0.03067746708582061,0.009032634032634032,0.022465775494601048,0.009032634032634032,73.6666666666667
Marechal Hermes,1,0.6041666666666666,0.5558380931214848,0.62882096069869,0.031731386122813565,0.006701631701631702,0.030364371558168943,0.006701631701631702,78.0
Maria da Graca,1,0.3680555555555555,0.6775357067066992,0.5353159851301115,0.030583556099114097,0.003885003885003885,0.025358431295875176,0.003885003885003885,83.5
