,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Jardim Carioca,0,0.47916666666666663,0.6398907356397618,0.5714285714285714,0.031239602413284953,0.0034965034965034965,0.022724441167924533,0.0034965034965034965,78.39999999999999
Jardim Guanabara,0,0.3263888888888889,0.7267505371506109,0.5217391304347826,0.030205429880253213,0.002136752136752137,0.017340182797610848,0.002136752136752137,90.81666666666665
Jardim Sulacap,2,0.18055555555555555,0.6761996683201967,0.47058823529411764,0.02789744050005085,0.013111888111888112,0.025083646427663465,0.013111888111888112,78.58333333333334
Lagoa,0,0.05555555555555555,0.368149679054299,0.35467980295566504,0.01766811908063871,0.042346542346542344,0.051524867725288796,0.042346542346542344,74.08333333333334
Laranjeiras,0,0.08333333333333333,0.5359769642171685,0.414985590778098,0.02272709453309044,0.004564879564879565,0.028997957567721076,0.004564879564879565,83.33333333333333
Leblon,4,0.020833333333333332,0.318433503975654,0.2748091603053435,0.006185875226481924,0.02564102564102564,0.029841635214229334,0.02564102564102564,90.79999999999998
Leme,4,0.013888888888888888,0.0,0.2139673105497771,0.004640072350008213,0.002428127428127428,0.017370261906862586,0.002428127428127428,74.38333333333335
Lins de Vasconcelos,0,0.46527777777777773,0.6167693291989501,0.5517241379310345,0.03117840657164048,0.007187257187257187,0.027026008499711606,0.007187257187257187,66.0166666666667
Madureira,2,0.3194444444444444,0.6783446457352266,0.5124555160142349,0.030121234823541208,0.005536130536130536,0.01790862359865083,0.005536130536130536,31.684523809523775
Magalhaes Bastos,2,0.5138888888888888,0.556791223215114,0.5877551020408164,0.03142056548873306,0.05419580419580419,0.04340915804071635,0.05419580419580419,76.01666666666668
Mangueira,1,0.16666666666666666,0.6712509336229983,0.4645161290322581,0.027449745897791554,0.002428127428127428,0.010814399605453604,0.002428127428127428,104.31666666666666
Manguinhos,1,0.09027777777777778,0.664644188951333,0.3988919667590028,0.023653610033604906,0.00019425019425019425,0.007375418861327081,0.00019425019425019425,104.48333333333333
Maracana,4,0.09027777777777778,0.5564476883306158,0.42729970326409494,0.02351946934997166,0.006701631701631702,0.022001359389233994,0.006701631701631702,103.81666666666665
